,idTurma,matricula,ano,idAluno,notaProva1,questoesFeitasProva1,quantidadeProva1,tituloProva1,notaProva2,questoesFeitasProva2,quantidadeProva2,tituloProva2,mediaProvas,situacao,qsub1,qsub2,qsub3,qsub4,qsub5,qsubp1,qsubp2,totalsub,igualACeml123,igualACeml45
129,5add873c651f043c5772314d,20170138630.0,2018.1,5aa68f766a77db040b660fe1,5.0,5.0,5.0,Prova 1 - Turma 2C e 2D,0.0,4.0,4.0,Prova 2 - Turmas 3C e 3D - 2018.2,2.5,0,4,7,10,7,16,21,23,44,19,22
130,5b7b03c9b50b336749898175,20170138630.0,2018.2,5aa68f766a77db040b660fe1,25.0,4.0,4.0,Prova 1 - Turma 3D - 2018.2,0.0,3.0,5.0,Prova 2 - Turmas 2C e 2D - 2018.1,12.5,0,4,7,10,7,16,21,23,44,19,22
131,5b7b03c9b50b336749898175,20170138630.0,2018.2,5aa68f766a77db040b660fe1,25.0,4.0,4.0,Prova 1 - Turma 3D - 2018.2,0.0,4.0,4.0,Prova 2 - Turmas 3C e 3D - 2018.2,12.5,0,4,7,10,7,16,21,23,44,19,22
132,5add873c651f043c5772314d,20170032013.0,2018.1,5ad0087be1b024040e685010,59.0,5.0,5.0,Prova 1 - Turma 2C e 2D,90.0,5.0,5.0,Prova 2 - Turmas 2C e 2D - 2018.1,74.5,1,3,9,5,15,5,17,20,37,15,20
133,5add873c651f043c5772314d,20170044810.0,2018.1,5aa68fbcbaa69604102c742c,0.0,5.0,5.0,Prova 1 - Turma 2C e 2D,50.0,4.0,4.0,Prova 2 - Turmas 3C e 3D - 2018.2,25.0,0,10,14,8,11,16,32,27,59,27,27
134,5add873c651f043c5772314d,20170044810.0,2018.1,5aa68fbcbaa69604102c742c,0.0,5.0,5.0,Prova 1 - Turma 2C e 2D,50.0,4.0,4.0,Prova 2 - Turmas 3C e 3D - 2018.2,25.0,0,10,14,8,11,16,32,27,59,27,27
135,5b7b00efb50b33674989816a,20170044810.0,2018.2,5aa68fbcbaa69604102c742c,6.25,3.0,4.0,Prova 1 - Turma 3B - 2018.2,50.0,4.0,4.0,Prova 2 - Turmas 3C e 3D - 2018.2,28.125,0,10,14,8,11,16,32,27,59,27,27
136,5b7b00efb50b33674989816a,20170044810.0,2018.2,5aa68fbcbaa69604102c742c,6.25,3.0,4.0,Prova 1 - Turma 3B - 2018.2,50.0,4.0,4.0,Prova 2 - Turmas 3C e 3D - 2018.2,28.125,0,10,14,8,11,16,32,27,59,27,27
137,5b7b03c9b50b336749898175,20170044810.0,2018.2,5aa68fbcbaa69604102c742c,6.25,3.0,4.0,Prova 1 - Turma 3B - 2018.2,50.0,4.0,4.0,Prova 2 - Turmas 3C e 3D - 2018.2,28.125,0,10,14,8,11,16,32,27,59,27,27
138,5b7b03c9b50b336749898175,20170044810.0,2018.2,5aa68fbcbaa69604102c742c,6.25,3.0,4.0,Prova 1 - Turma 3B - 2018.2,50.0,4.0,4.0,Prova 2 - Turmas 3C e 3D - 2018.2,28.125,0,10,14,8,11,16,32,27,59,27,27
